id,created_at,updated_at,author_id,company_id,recruiter_telegram_login,stage,telegram_file_id,video_url,text,type,specialization
2537,2026-08-03 14:55:10.517 +0300,2026-08-03 15:04:14.396 +0300,176,667,AnnaSavostyanova85,tech,BAACAgIAAxkBAAEGIttqcICevVaEVSKoa3DVtW3WI65QsgACYKIAAoIciUuOprkRmGwyyjsE,https://s3.firstvds.ru:443/interviews/смотрим/tech/03-08-2026-14-55-10-AgADYKIAAoIciUs.mp4,"Так жёстко меня ещё не сливали) К такому не подготовится, просто копает легенду глубже и глубже. Меня слили на кафке, через 15 минут)",video,Python
2536,2026-08-03 12:39:47.068 +0300,2026-08-03 12:44:59.933 +0300,176,747,Dasha_IT_HR,screaning,BAACAgIAAxkBAAEGIndqcGE-26LabwcGGPdSYAaRUE4nDAACw6AAAoIciUv3BtehXRzvajsE,https://s3.firstvds.ru:443/interviews/сателлит/screaning/03-08-2026-12-39-47-AgADw6AAAoIciUs.mp4,"Создалось впечатление, что эйчарка тоже вкатилась в хр) Ничего толком не рассказала, удалёнка, зп 250 в вилке, проект в ЮниКредитБанке. Вот тех вопросы, на которые нужно ответить
Вопросы для скрининга: 
Вопрос 1: 
def fоо(): 
>>>>return ([""foo"",1]) 
D = {""A"": [1,2], foo: False, foo(): True, (1,): ""123""} 
Что будет в переменной D и почему? 
Вопрос 2: 
def f_g(): 
>>>>yield 43 
>>>>return 66 
print(f_g()) 
Что будет выведено на экран в результате выполнения кода? 
Вопрос 3: 
counter = 0 
def incrеmеnt(): 
>>>>counter += 1 
incremеnt() 
print(countеr) 
Что будет выведено на экран и почему? 
Вопрос 4: 
999999 in range(1,99999999) 
За какую алгоритмическую сложность по времени выполнится выражение? 
Вопрос 5: 
В чем отличие между стеком, очередью и декой в Python? 
Вопрос 6: 
Когда связные списки эффективней массива? 
Вопрос 7: 
Как вы понимаете термины ""слабая связь(low coupling)"" и ""высокая связность (high cohesion)"" в контексте 
ООП 
Вопрос 8: 
В чем разница между паттернами проектирования ""Стратегия"" и ""Шаблонный метод""? 
Вопрос 9: 
Что такое DLQ? 
Вопрос 10: 
Что такое API Gateway и зачем он нужен?",video,Python
2538,2026-08-03 17:31:27.960 +0300,2026-08-03 17:35:32.885 +0300,99,132,AnnaIvakina,screaning,BAACAgIAAxkBAAEGI29qcKWOrCTq0JrdJSt9jho_rJ3AgQACb58AAiV2iUsdzYgAAb15tsA7BA,https://s3.firstvds.ru:443/interviews/ЯндексАлиса/screaning/03-08-2026-17-31-27-AgADb58AAiV2iUs.mp4,"3-й скрининг, первые 2 не смог записать, а теперь смог.
Все стандартно, вопросы, этапы и общение, спасибо ментору, за подготовку.
Назначили 1-й тех, но учитывая, что там будет, думаю, что обосрусь, так как с лф у меня беда(((
Предупредили, чтобы отключить весь AI, интересно, если юзнуть hint sage запалят ли?",video,Python
2539,2026-08-05 12:33:02.805 +0300,2026-08-05 12:33:02.805 +0300,2777,667,AnnaSavostyanova85,screaning,,,"Скрининг в формате разговора по телефону. Были технические вопросы, была вакансия на ML, сказал, что прям на прямую с ML не работал, задали базовые питонячие вопросы на вакансию бэкендера. Вилка 250-300 сказали нормал. Только офис на м. Савеловская, второй этап в офисе, без лайвкодинга, просто технические вопросы и знакомство с руководителем. Как бы вообще звучит прикольно, но офис облом конечно",text,Python
2545,2026-08-05 14:34:10.301 +0300,2026-08-05 14:34:10.301 +0300,176,752,-,screaning,,,"Общались в чате хх. Созванивались по телефону. Подразделение роскомнадзора. Будет 2 часовой тех со всеми извращениями. После теха нужно пройти полиграф. Созвон длился минуты 3. В моменте спросила меня есть ли вопросы, я спросил про проект и команду, а она просто сказала ""хорошо, до свидания"" и сбросила) Но потом написала и пригласила на тех.",text,Python
2548,2026-08-05 16:24:09.600 +0300,2026-08-05 16:31:18.905 +0300,2587,207,paramonova_me,screaning,BAACAgIAAxkBAAEGKiFqczlOK4PnC5G-dgI4CAABLBx-wwgAAqulAALlxJhLHmx18eOQXHs7BA,https://s3.firstvds.ru:443/interviews/АтомБезопасность/screaning/05-08-2026-16-24-09-AgADq6UAAuXEmEs.mp4,,video,Python
2551,2026-08-06 10:22:15.499 +0300,2026-08-06 10:24:13.168 +0300,51,712,qwazplm,screaning,BQACAgIAAxkBAAEGK3hqdDSU5Ld6ULTBUX83rcayboSTjQACDZ4AArI2qUvffGOcWcHhtjsE,https://s3.firstvds.ru:443/interviews/трим/screaning/06-08-2026-10-22-15-AgADDZ4AArI2qUs.mp4,,video,Python
2554,2026-08-06 18:51:52.874 +0300,2026-08-06 18:52:21.323 +0300,364,17,IT_recruiter_Anna,screaning,CQACAgIAAxkBAAEGLRBqdK2Mle4T8EYJPZBjF8D4OwoJZQAC7K4AAhsuqEu3WsF9bbNYKjsE,https://s3.firstvds.ru:443/interviews/Sber/screaning/06-08-2026-18-51-52-AgAD7K4AAhsuqEs.mp3,,audio,Python
2555,2026-08-06 19:38:54.698 +0300,2026-08-06 19:40:05.600 +0300,364,17,SvetlanaElosova,tech,BAACAgIAAxkBAAEGLTlqdLY3eA3a5WQ61EkENYBnOJw_WQACR68AAhsuqEvJooCSXghFvTsE,https://s3.firstvds.ru:443/interviews/Sber/tech/06-08-2026-19-38-54-AgADR68AAhsuqEs.mp4,"Приятный не душный тех, во время задач показал себя не очень. Конец собеса обрезался, но больше задач и вопросов не было.
Задачи:
1. Написать декоратор, считающий время выполнения функции.
2. Есть список ссылок, нужно написать асинхронную функцию, чтобы их обкачать",video,Python
2558,2026-08-07 09:27:27.084 +0300,2026-08-07 09:30:21.928 +0300,364,17,just_margo,tech,BAACAgIAAxkBAAEGLsVqdXq6akTV3O1rPArq3PSegWmzJAACSpwAAhsusEsCgG8wwlDsmjsE,https://s3.firstvds.ru:443/interviews/Sber/tech/07-08-2026-09-27-27-AgADSpwAAhsusEs.mp4,,video,Python
