Тема,Вопрос,Ответ с пояснением
Алгоритмы и структуры данных (бэкенд-минимум),Что такое CAS (compare-and-swap)?,"Базовая атомарная операция: «замени старое значение на новое, только если текущее равно ожидаемому». Основа lock-free структур."
Алгоритмы и структуры данных (бэкенд-минимум),Какова алгоритмическая сложность операций в map?,"В среднем O(1). В худшем случае (много коллизий) может деградировать до O(n), но Go использует рандомизацию хешей, чтобы этого избежать."
Алгоритмы и структуры данных (бэкенд-минимум),Как реализовать Set через мапу?,"Используют map[T]struct{}. Пустая структура занимает 0 байт памяти, что эффективнее, чем map[T]bool."
Архитектура и System Design,"Как залочить два мьютекса так, чтобы не возникло дедлока?",Всегда захватывать их в одном и том же строгом порядке во всех частях программы.
Архитектура и System Design,Разница между наследованием и композицией?,"В Go нет наследования. Используется композиция (встраивание): одна структура включает в себя другую, получая её поля и методы."
Архитектура и System Design,Что такое распределенная транзакция?,"Транзакция, затрагивающая несколько разных БД или микросервисов. Требует 2PC или паттерн Saga."
Архитектура и System Design,Паттерн Outbox и паттерн Saga?,Outbox: сохраняем событие в свою БД в одной транзакции с данными. Saga: цепочка локальных транзакций с компенсацией при сбое.
Архитектура и System Design,Расшифруй SOLID?,"S — Single Responsibility, O — Open/Closed, L — Liskov Substitution, I — Interface Segregation, D — Dependency Inversion."
Архитектура и System Design,Паттерн Singleton: плюсы и минусы в Go?,"Плюс: один экземпляр (sync.Once). Минусы: глобальное состояние, сложность тестирования (нельзя подменить моком)."
Архитектура и System Design,Паттерн Builder и Functional Options?,Builder — цепочка методов. Functional Options — передача функций в конструктор (идиоматично для Go).
Архитектура и System Design,Что такое Чистая архитектура (Clean Architecture)?,"Слои: Entities, Use Cases, Adapters. Внутренние слои не знают о внешних (БД, API)."
Архитектура и System Design,Разница между монолитом и микросервисами?,"Монолит: один процесс, простые вызовы. Микросервисы: независимость, масштаб, но сложность сети."
Архитектура и System Design,Что такое инверсия зависимостей?,Модули верхнего уровня не зависят от нижнего. Оба зависят от абстракций (интерфейсов).
Архитектура и System Design,Был ли опыт ведения проекта самостоятельно?,"Пример: система бухгалтерии, отвечал за бэкенд от БД до RabbitMQ."
Архитектура и System Design,Что такое модульный монолит?,"Один процесс, но код разделен на независимые модули с четкими интерфейсами."
Архитектура и System Design,Как отличить монолит от микросервиса?,По данным: если сервисы делят одну БД — это монолит (распределенный).
Архитектура и System Design,Reverse Proxy vs API Gateway?,"Proxy — перенаправление (Nginx). Gateway — авторизация, лимиты, агрегация ответов."
Архитектура и System Design,Паттерны микросервисов?,"BFF, Sidecar, CQRS, Circuit Breaker, Service Discovery."
Архитектура и System Design,Что такое DDD?,"Domain-Driven Design: проектирование вокруг бизнес-области (Bounded Context, Aggregates)."
Архитектура и System Design,Что такое Serverless?,"Написание функций без управления серверами, оплата за время работы кода."
Архитектура и System Design,Паттерны отказоустойчивости?,"Retry, Timeout, Circuit Breaker, Bulkhead."
Архитектура и System Design,Как микросервисы общаются?,"Синхронно (REST, gRPC) и асинхронно (брокеры сообщений)."
Интеграции и внешние API (Resilience + Anti-Corruption Layer),Что такое Anti-Corruption Layer (ACL)?,"Слой-прослойка, который транслирует данные внешнего API во внутренние структуры домена, чтобы внешние изменения не ломали логику."
Тестирование (база),Unit тесты?,Проверка минимального участка кода в полной изоляции.
Тестирование (база),Интеграционные тесты?,"Проверка взаимодействия частей системы с реальными ресурсами (БД, API)."
Тестирование (база),Testing в Go?,"Файлы _test.go, функции TestXxx(t *testing.T)."
Тестирование (база),Подходы в Go?,Table-driven tests (тестирование на основе таблиц данных).
Тестирование (база),Как тестировать приватные функции?,Тесты в том же пакете или через файл export_test.go.
Тестирование (база),Пирамида тестирования?,Unit (много) -> Integration -> E2E (мало).
Тестирование (база),Как узнать покрытие?,go test -coverprofile=c.out -> go tool cover -html=c.out.
Тестирование (база),Школы юнит-тестирования?,"Лондонская (всё на моках) и Детройтская (классическая, минимум моков)."
Cache (Redis и кеш-паттерны),Почему sync.Pool не подходит для хранения соединений с базой данных?,Объекты в Pool могут быть удалены GC в любой момент без предупреждения. Коннекты к БД требуют явного закрытия и контроля жизненного цикла.
Cache (Redis и кеш-паттерны),Как работают транзакции в Redis?,"Команды MULTI/EXEC. Ставятся в очередь и выполняются последовательно. Redis не делает откат (rollback), если одна команда упала."
Cache (Redis и кеш-паттерны),Способы инвалидации кэша в Redis?,"TTL (время жизни), ручное удаление или политики вытеснения типа LRU (Least Recently Used)."
DevOps минимум и Delivery,Docker и его отличия от виртуализации?,"Виртуализация эмулирует железо. Docker использует ядро хоста (namespaces и cgroups), изолируя только процессы."
DevOps минимум и Delivery,Разница между образом (Image) и контейнером?,Образ — это неизменяемый шаблон (чертеж). Контейнер — запущенный экземпляр этого образа (процесс).
DevOps минимум и Delivery,Что такое мультистейдж сборка (multi-stage) в докере?,Использование нескольких FROM. Позволяет собрать бинарник в одном образе и переложить его в чистый минимальный образ.
DevOps минимум и Delivery,Что такое Pod в Kubernetes?,Минимальная единица развертывания. Группа из одного или нескольких контейнеров с общей сетью и хранилищем.
DevOps минимум и Delivery,Как собрать контейнер и запустить его?,Dockerfile -> docker build (образ) -> docker run (контейнер).
DevOps минимум и Delivery,Какой флаг нужен для запуска в фоне?,Флаг -d.
DevOps минимум и Delivery,Что такое volume?,Механизм постоянного хранения данных вне жизненного цикла контейнера.
DevOps минимум и Delivery,Что такое docker compose?,Инструмент управления многоконтейнерными приложениями через YAML файл.
DevOps минимум и Delivery,Как запустить контейнер после другого?,Использовать depends_on + healthcheck для проверки готовности.
DevOps минимум и Delivery,Типы сетей в Docker?,"Bridge (дефолт), Host (сеть хоста), Overlay (между хостами), None."
DevOps минимум и Delivery,Как посмотреть список запущенных контейнеров?,docker ps.
DevOps минимум и Delivery,Что такое Docker Registry?,"Хранилище образов (Docker Hub, GitLab Registry)."
DevOps минимум и Delivery,Что такое Docker Swarm?,Инструмент оркестрации контейнеров (аналог k8s).
DevOps минимум и Delivery,Параметры docker run?,"-d (фон), --rm (удалить после), -p (порты), -v (тома), -e (env)."
DevOps минимум и Delivery,Мультиэтапная сборка Docker?,Использование нескольких FROM для уменьшения веса образа и повышения безопасности.
DevOps минимум и Delivery,Инструкции Docker?,"FROM, RUN, CMD, ENTRYPOINT, COPY, ENV, EXPOSE, VOLUME, WORKDIR."
DevOps минимум и Delivery,Где хранятся тома docker?,/var/lib/docker/volumes/.
DevOps минимум и Delivery,Отличие CMD от ENTRYPOINT?,"CMD можно полностью переопределить аргументами запуска, ENTRYPOINT — только дополнить."
DevOps минимум и Delivery,Что такое healthcheck?,Механизм самопроверки работоспособности приложения внутри контейнера.
DevOps минимум и Delivery,В чем отличие контейнера от виртуалки?,"Контейнеры легче, используют общее ядро ОС хоста, виртуалки — свое железо и ОС."
DevOps минимум и Delivery,Что такое CI/CD и его этапы?,Lint -> Test -> Build -> Deploy. Автоматизация от коммита до продакшена.
DevOps минимум и Delivery,В чем отличие облака от выделенного сервера?,"Облако: масштаб, Managed-сервисы, дороже. Сервер: контроль, дешевле на стабильной нагрузке."
DevOps минимум и Delivery,Что такое линтер?,"Статический анализ кода без запуска (golangci-lint, flake8)."
DevOps минимум и Delivery,Что такое pre-commit?,Фреймворк для запуска проверок прямо перед git commit.
DevOps минимум и Delivery,Что такое kaniko?,Инструмент сборки образов внутри контейнера без доступа к Docker-демону (безопасно).
Git,Как создать ветку?,git branch <name> или git checkout -b <name>.
Git,Что такое git stash?,Временное сохранение незакоммиченных изменений.
Git,Способы отката коммита?,"git revert (безопасно, новый коммит) или git reset (удаление из истории)."
Git,Merge vs Rebase?,"Merge сохраняет все связи, Rebase делает историю линейной."
Git,Что делает git commit --fixup?,Создает коммит для авто-склейки при интерактивном ребейзе.
Git,Что такое git submodules?,Подключение одного репозитория внутрь другого.
Git,Что такое git cherry-pick?,Применение одного конкретного коммита из другой ветки в свою.
Git,Pull vs Merge?,Pull — это fetch (скачивание) + merge (слияние).
Go Concurrency (обязательный прод-уровень),Что такое горутина?,"Это легковесный поток исполнения (user-space thread), запускаемый рантаймом Go. Она дешевле потока ОС, так как управляется планировщиком Go, а не ядром."
Go Concurrency (обязательный прод-уровень),Чем горутина отличается от потока ОС?,Поток ОС имеет фиксированный стек (1-2 МБ) и переключается ядром (дорого). Горутина имеет малый стек (от 2 КБ) и переключается рантаймом в user-space (быстро).
Go Concurrency (обязательный прод-уровень),Какой начальный размер стека горутины?,"2048 байт (2 КБ). Этого достаточно для большинства простых функций, что позволяет запускать миллионы горутин."
Go Concurrency (обязательный прод-уровень),Что такое модель многопоточности M:N?,Это отображение M горутин на N потоков ОС. Это позволяет выполнять тысячи логических потоков на малом количестве реальных системных потоков.
Go Concurrency (обязательный прод-уровень),Можно ли принудительно завершить горутину из другого места программы?,"Нет, в Go нет метода Kill. Остановка делается только «вежливо»: горутина должна слушать канал или ctx.Done() и завершиться сама."
Go Concurrency (обязательный прод-уровень),"Что произойдет, если вызвать panic внутри горутины?","Если паника не перехвачена через recover внутри этой же горутины, она вызовет падение всего процесса (crash) всего приложения."
Go Concurrency (обязательный прод-уровень),"Как перехватить panic в горутине, чтобы не упало все приложение?","Нужно использовать defer func() { if r := recover(), r != nil { ... } }() в самом начале кода горутины."
Go Concurrency (обязательный прод-уровень),Какое максимальное количество горутин можно создать в теории?,Ограничено только доступной оперативной памятью. На 16 ГБ ОЗУ теоретически можно запустить несколько миллионов горутин.
Go Concurrency (обязательный прод-уровень),Что делает функция runtime.Gosched()?,"Она говорит планировщику: «Я готов уступить место». Горутина снимается с выполнения и ставится в конец очереди, давая поработать другим."
Go Concurrency (обязательный прод-уровень),Что такое graceful shutdown горутин и как его реализовать?,"Это корректное завершение работы (доделка задач, закрытие файлов). Реализуется через context.Context и sync.WaitGroup для ожидания финиша всех горутин."
Go Concurrency (обязательный прод-уровень),Что такое канал и для чего он нужен?,Это типизированная труба для передачи данных между горутинами. Основная цель — синхронизация и обмен данными без использования явных локов.
Go Concurrency (обязательный прод-уровень),Чем буферизированный канал отличается от небуферизированного?,"Небуферизированный блокирует отправителя, пока нет получателя. Буферизированный позволяет отправить N сообщений без блокировки, пока буфер не полон."
Go Concurrency (обязательный прод-уровень),Что будет при записи в закрытый канал?,Немедленная паника (panic: send on closed channel).
Go Concurrency (обязательный прод-уровень),Что будет при чтении из закрытого канала?,"Сначала вычитаются остатки из буфера. Когда он пуст, чтение всегда возвращает zero-value типа данных и флаг ok == false."
Go Concurrency (обязательный прод-уровень),Что будет при попытке закрыть уже закрытый канал?,Паника (panic: close of closed channel).
Go Concurrency (обязательный прод-уровень),Что будет при чтении или записи в nil-канал?,Горутина заблокируется навсегда. Это можно использовать в select для динамического отключения кейса.
Go Concurrency (обязательный прод-уровень),Как работает оператор select?,Он выбирает один из готовых каналов для операции. Если готовы несколько — выбирает случайный. Если никто не готов — блокируется (или идет в default).
Go Concurrency (обязательный прод-уровень),"В каком порядке выбираются кейсы в select, если готовы несколько каналов?","В случайном. Это сделано для предотвращения «голодания» каналов, стоящих в конце списка, и равномерного распределения нагрузки."
Go Concurrency (обязательный прод-уровень),Как использовать каналы для реализации семафора?,"Создается буферизированный канал емкостью N. Запись в него — «взять ресурс», чтение — «освободить ресурс»."
Go Concurrency (обязательный прод-уровень),Как с помощью каналов завершить работу сразу нескольких горутин?,"Нужно закрыть канал (close(stopChan)), на который подписаны горутины через select. Закрытие канала мгновенно оповещает всех слушателей."
