№,Тема,Вопрос,Ответ,Компании,Встречается
132,Алгоритмы и структуры данных,Что такое алгоритмическая сложность? Как ее определять?,"Это оценка зависимости количества операций или памяти от размера входных данных. Обозначается нотацией Big O (например, O(n), O(log n)). Определяется анализом циклов (вложенность дает степень), рекурсии (дерево вызовов) и операций внутри кода.",,Часто
133,Алгоритмы и структуры данных,Что такое стек?,"Структура данных LIFO (Last In First Out — последним пришел, первым ушел). Основные операции: push (добавить), pop (удалить верхний). Используется для хранения вызовов функций, отмены действий, обхода деревьев.",,Редко
134,Алгоритмы и структуры данных,Что такое очередь?,"Структура данных FIFO (First In First Out — первым пришел, первым ушел). Основные операции: enqueue (в конец), dequeue (из начала). Используется для очередей задач, буферизации потока данных, BFS обхода.",,Редко
135,Алгоритмы и структуры данных,Что такое дек?,"Двусторонняя очередь (Double Ended Queue). Позволяет добавлять и удалять элементы с обоих концов за O(1). Универсальнее стека и очереди, реализуется в Python как collections.deque.",,Редко
136,Алгоритмы и структуры данных,Что такое куча?,"Деревообразная структура (обычно бинарная), удовлетворяющая свойству кучи: родитель либо больше (max-heap), либо меньше (min-heap) своих детей. Используется для реализации приоритетных очередей и алгоритма Heap Sort.",,Редко
137,Алгоритмы и структуры данных,Что такое граф?,"Набор вершин (nodes) и ребер (edges), соединяющих их. Бывают ориентированные/неориентированные, взвешенные/невзвешенные. Моделирует сети, зависимости, карты путей.",,Редко
138,Алгоритмы и структуры данных,Что такое дерево?,"Иерархическая структура данных, представляющая собой связный ациклический граф. Есть корень, узлы и листья. Используется в файловых системах, DOM, базах данных (B-деревья).",,Редко
139,Алгоритмы и структуры данных,Что такое бинарное дерево?,"Дерево, где у каждой вершины не более двух потомков (левый и правый). Если соблюдается порядок (левый < корень < правый), это бинарное дерево поиска (BST).",,Редко
140,Алгоритмы и структуры данных,Что такое односвязный список?,"Линейная структура, где каждый элемент хранит данные и ссылку на следующий элемент. Доступ только последовательный, вставка/удаление в начале эффективны (O(1)), доступ по индексу медленный (O(n)).",,Редко
141,Алгоритмы и структуры данных,Что такое двусвязный список?,"Как односвязный, но каждый элемент хранит ссылку и на следующий, и на предыдущий узел. Позволяет эффективно ходить в обе стороны и удалять текущий узел без доступа к голове.",,Редко
142,Алгоритмы и структуры данных,Какие ты знаешь алгоритмы сортировки? Какая у них сложность?,"Простые: Пузырьковая, Выбором, Вставками (O(n^2)). Эффективные: Быстрая (Quick Sort), Слиянием (Merge Sort), Пирамидальная (Heap Sort) — в среднем O(n log n). В Python используется Timsort (гибрид merge и insertion), стабильный O(n log n).",,Редко
143,Алгоритмы и структуры данных,Расскажи для чего нужен алгоритм бинарного поиска?,"Для быстрого поиска элемента в отсортированном массиве. На каждом шаге отбрасывает половину оставшихся элементов. Сложность O(log n), что гораздо быстрее линейного поиска O(n) на больших данных.",,Редко
144,Алгоритмы и структуры данных,Расскажи какие ты знаешь способы обхода графа?,"DFS (Depth First Search) — поиск в глубину, использует стек или рекурсию. BFS (Breadth First Search) — поиск в ширину, использует очередь, находит кратчайший путь в невзвешенном графе. Также есть алгоритм Дейкстры для взвешенных графов.",,Иногда
115,Архитектура ПО,В чём плюсы и минусы монолитного подхода? В каких ситуациях его использовать?,"Плюсы:
* Простота разработки: Вся функциональность находится в одном кодовом базе, что облегчает разработку.
* Единый деплоймент: Для развертывания требуется лишь один образ приложения, что упрощает процесс деплоя.
* Высокая производительность: Внутренние вызовы методов происходят быстрее, так как не требуют сетевого взаимодействия.
* Упрощённое управление: Администрирование и мониторинг системы осуществляются централизованно.
* Меньше накладные расходы на обслуживание
* Легкое управление транзакциями и поддержка целостности данных, т.к. у проекта обычно одна БД.

Минусы:
* Ограниченная масштабируемость: Трудно масштабировать отдельные компоненты приложения; масштабируется вся система целиком.
* Сложность поддержки: По мере роста кодовой базы поддержка и обновление приложения становятся всё более трудоёмкими.
* Риски при обновлении: Изменения в одной части приложения требуют повторного деплоймента всего приложения, что увеличивает риск сбоев.
* Монотонность технологического стека: Трудно внедрять новые технологии или языки программирования в отдельных частях приложения.

Хорошо подходит для мелких приложений, приложений, где все функции взаимодействуют с единой сильно связанной моделью данных, ситуаций, когда нужно быстро написать MVP, когда мало денег на инфраструктуру, и приложений с маленьким временем задержки.
","Билайн, Литрес, Аэроклуб",Часто
116,Архитектура ПО,В чём плюсы и минусы микросервисного подхода? В каких ситуациях его использовать?,"Плюсы:
* Масштабируемость: Каждый сервис можно масштабировать независимо в соответствии с его нагрузкой.
* Гибкость в выборе технологий: Разные сервисы могут быть написаны на разных языках и использовать разные технологии, оптимальные для их задач.
* Гибкость в разработке: Разные команды могут одновременно разрабатывать разные сервисы и им проще будет погружать новых сотрудников в проект, т.к. код микросервиса легче понять, чем код монолита, т.к. он разделен на четкие задачи
* Улучшенная отказоустойчивость и повышенная доступность: Сбой одного сервиса не приводит к падению всей системы, что повышает общую надежность.
* Независимый деплоймент: Обновление одного сервиса не требует перезапуска всей системы, что ускоряет процесс внедрения изменений.

Минусы:
* Сложность разработки и синхронизации: Разработка распределенной системы требует учета множества факторов, таких как сетевые взаимодействия, согласованность данных и т.д.
* Затраты на инфраструктуру: Требуется более сложная инфраструктура для оркестрации сервисов, управления конфигурациями и мониторинга.
* Повышенное время задержки: Взаимодействие между сервисами происходит по сети, что может привести к задержкам и требует оптимизации.
* Сложность тестирования: Тестирование распределенных систем сложнее из-за необходимости учитывать взаимодействия между сервисами.

Подходит для всего остального после ситуаций, когда лучше подходит монолит","Билайн, Литрес",Часто
117,Архитектура ПО,Что такое монолитное приложение?,"Монолитное приложение — это программное обеспечение, в котором все компоненты и функциональные модули объединены в единую, неделимую кодовую базу. В такой архитектуре все части приложения тесно связаны и работают как одно целое.",Билайн,Часто
118,Архитектура ПО,Что такое микросервис?,"Микросервис — это небольшое, независимое приложение, которое выполняет одну конкретную функцию в составе более крупной системы. Каждое такое приложение представляет собой отдельный сервис со своим кодом, базой данных и часто своим стеком технологий. Микросервисы взаимодействуют друг с другом через стандартизированные интерфейсы, например, REST API.",,Часто
240,Архитектура ПО,Что такое Saga?,"Saga — это архитектурный шаблон, используемый для управления распределёнными транзакциями в микросервисных архитектурах. Он помогает координировать набор операций, которые должны выполняться последовательно, чтобы обеспечить согласованность данных в случае отказов или ошибок. (реализуется через сообщения в брокере)

Saga делится на два типа:
Оркестрированная Saga — когда центральный оркестратор управляет всеми шагами транзакции, отправляя команды каждому из сервисов и получая их отклик.
Хореографированная Saga — когда сервисы взаимодействуют напрямую друг с другом через события. В случае успеха или ошибки каждый сервис сам решает, как реагировать на полученное событие и как выполнять свои операции.

Отличия от 2pc (two-phase-commit):
* Механизм согласования и управления:
 - Saga работает по принципу последовательных действий и компенсаций. Каждый шаг (операция) в транзакции выполняется независимо, а в случае ошибки или сбоя предыдущие шаги компенсируются откатами.
 - 2PC использует жёсткий централизованный подход для согласования всех участников. Координатор транзакции сначала собирает от всех участников подтверждение готовности (1-я фаза), а затем завершает транзакцию (2-я фаза) только если все участники согласны. Если кто-то не готов, происходит общий откат.
* Терпимость к сбоям:
 - Saga лучше адаптирована для отказоустойчивых и распределённых систем. В случае сбоя отдельного шага происходит компенсация, а остальные участники продолжают работать. Это делает её более гибкой для микросервисных архитектур.
 - 2PC неустойчива к сбоям, так как центральный координатор представляет собой ""точку отказа"" (Single Point of Failure). Если координатор выходит из строя или один из участников отказывает, вся транзакция остаётся ""подвешенной"".
* Масштабируемость:
 - Saga хорошо масштабируется в микросервисной архитектуре, так как не требует блокировок ресурсов. Каждый сервис работает независимо и обрабатывает шаги асинхронно.
 - 2PC плохо масштабируется в крупных распределённых системах из-за необходимости согласования и блокировки ресурсов для всех участников, что замедляет выполнение.
* Использование и применимость:
 - Saga используется для долгоживущих, распределённых транзакций, которые могут быть откатаны через компенсационные действия (например, бронирование авиабилетов, где шаги могут отменяться).
 - 2PC подходит для случаев, когда нужна строгая согласованность и транзакции завершаются в течение короткого времени (например, банковские переводы внутри одной системы), но менее практична для распределённых микросервисных архитектур.
Итог: Saga обеспечивает асинхронную, менее жёсткую согласованность с компенсационными действиями, а 2PC — строгую синхронную согласованность, жертвуя гибкостью и масштабируемостью.

https://ibb.co/FWBDcxZ
",,Иногда
241,Архитектура ПО,Что такое API Gateway и Reverse Proxy?,"API Gateway/Reverse Proxy — это компонент, который действует как единая точка входа для всех клиентских запросов к микросервисной архитектуре. Он выполняет множество функций, упрощая взаимодействие между клиентами и набором микросервисов, обеспечивая их безопасность, маршрутизацию и согласованность.

Основные задачи API Gateway включают:
* Аутентификация и авторизация: API Gateway может проверять подлинность клиента и его права доступа перед тем, как разрешить запрос, что упрощает управление безопасностью в распределённой системе.
* Агрегация и трансформация данных: API Gateway может объединять данные от разных микросервисов в один ответ, что снижает количество запросов, необходимых клиенту, и повышает производительность.
* Мониторинг и логирование: API Gateway собирает информацию о запросах, ошибках и трафике, что помогает в мониторинге и улучшении системы.

Основные задачи Reverse Proxy включают:
* Маршрутизация запросов: Получает запрос от клиента и перенаправляет его к нужному микросервису. Это позволяет скрывать внутреннюю структуру сервисов и делать их архитектуру более гибкой.
* Балансировка нагрузки: между репликами сервисов через Ingress Nginx в k8s
* Кэширование: Может кэшировать часто запрашиваемые данные, что снижает нагрузку на микросервисы и улучшает время отклика.",,Иногда
242,Архитектура ПО,Какие паттерны микросервисной архитектуры ты знаешь?,"Saga, Api Gateway, Reverse proxy, Сircuit Breaker, Health Check, Шина данных и др. ( https://cloud.vk.com/blog/26-osnovnyh-patternov-mikroservisnoj-razrabotki/ )",,Иногда
